sr_no,date,startup,industry,sub_vertical,city,investors,investment_type,amount_usd,amount_inr_crore,year,month
2343,2015-10-19,Citrus Payment,Payments Solution platform,Other,Mumbai,"Sequoia Capital, Ascent Capital, Econtext Asia, Beenos Asia",Private Equity,25000000.0,210.0,2015,October
2344,2015-10-19,Holidify,Travel Destination Discovery platform,Other,New Delhi,Aarti Group,Seed Funding,100000.0,0.84,2015,October
2345,2015-10-20,PrimaSeller,Order Fulfillment SAAS platform,Other,Bengaluru,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & Others",Seed Funding,0.0,0.0,2015,October
2346,2015-10-20,Opinio,Last Mile Delivery Service,Other,Bengaluru,"Delhivery, Sands Capital And Accel Partners",Private Equity,7000000.0,58.8,2015,October
2347,2015-10-20,Attune Technologies,Healthcare IT Solutions & services,Other,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,10000000.0,84.0,2015,October
2348,2015-10-20,iChef.in,Gourmet Meals Delivery,Other,Mumbai,Springboard Ventures,Private Equity,0.0,0.0,2015,October
2349,2015-10-21,Jiyo Natural,Healthy Meals Food delivery platform,Other,Bengaluru,"Idg, Indian Angel Network",Seed Funding,0.0,0.0,2015,October
2350,2015-10-21,AgentDesks,Real Estate Mobile CRM,Other,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,2950000.0,24.78,2015,October
2351,2015-10-21,White Owl Brewery,Micro-Brewery,Other,Mumbai,"Arihant Patni, Raay Global Investments",Private Equity,1530000.0,12.85,2015,October
2352,2015-10-21,MealHopper,Home Made Food Marketplace,Other,Gurugram,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,100000.0,0.84,2015,October
2353,2015-10-21,Zenify.in,residential rental management platform,Other,Bengaluru,"Atul Jalan, Shrikanth & Bharath",Seed Funding,640000.0,5.38,2015,October
2354,2015-10-21,Stockal,Personalized Stock Intelligence Platform,Other,Bengaluru,"R Natarajan, Mohan Alexander",Seed Funding,0.0,0.0,2015,October
2355,2015-10-23,Medd,Personal Diagnostic Mobile App,Other,Mumbai,Group Of 15 Angel Investors,Seed Funding,150000.0,1.26,2015,October
